"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"66453463","2025-10-13T01:49:33.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Talking","Residential Building/House","10456","196 MCCLELLAN STREET","MCCLELLAN STREET","CARROLL PLACE","SHERIDAN AVENUE","CARROLL PLACE","SHERIDAN AVENUE","ADDRESS","BRONX","MCCLELLAN STREET",,"In Progress",,,"2025-10-13T02:09:44.000","04 BRONX","2024560075","BRONX","1007009","242645","ONLINE","Unspecified","BRONX",,,,,,,,"40.83265054169172","-73.91775710418656","
,  
(40.83265054169172, -73.91775710418656)"
"66461600","2025-10-13T01:49:28.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","10472","1833 GLEASON AVENUE","GLEASON AVENUE","TAYLOR AVENUE","THIERIOT AVENUE","TAYLOR AVENUE","THIERIOT AVENUE","ADDRESS","BRONX","GLEASON AVENUE",,"In Progress",,,,"09 BRONX","2037650004","BRONX","1021771","241749","PHONE","Unspecified","BRONX",,,,,,,,"40.83014090402407","-73.86441758952701","
,  
(40.83014090402407, -73.86441758952701)"
"66459295","2025-10-13T01:49:09.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11105","41-09 21 AVENUE","21 AVENUE","41 STREET","42 STREET","41 STREET","42 STREET","ADDRESS","ASTORIA","21 AVENUE",,"In Progress",,,,"01 QUEENS","4007980004","QUEENS","1011133","221306","PHONE","Unspecified","QUEENS",,,,,,,,"40.77406929303733","-73.90293989429594","
,  
(40.77406929303733, -73.90293989429594)"
"66456935","2025-10-13T01:49:01.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10037","2101 MADISON AVENUE","MADISON AVENUE","EAST  132 STREET","EAST  135 STREET","EAST  132 STREET","EAST  135 STREET","ADDRESS","NEW YORK","MADISON AVENUE",,"In Progress",,,"2025-10-13T02:11:47.000","11 MANHATTAN","1017570020","MANHATTAN","1001588","234465","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.81021106498936","-73.93736778909592","
,  
(40.81021106498936, -73.93736778909592)"
"66460458","2025-10-13T01:48:58.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10466","655 EAST  230 STREET","EAST  230 STREET","CARPENTER AVENUE","LOWERRE PLACE","CARPENTER AVENUE","LOWERRE PLACE","ADDRESS","BRONX","EAST  230 STREET",,"In Progress",,,,"12 BRONX","2048330028","BRONX","1022911","264242","MOBILE","Unspecified","BRONX",,,,,,,,"40.89187241649303","-73.86016845296459","
,  
(40.89187241649303, -73.86016845296459)"
"66459234","2025-10-13T01:48:33.000",,"DPR","Department of Parks and Recreation","Damaged Tree","Entire Tree Has Fallen Down","Street","11205","109 RYERSON STREET","RYERSON STREET","PARK AVENUE","MYRTLE AVENUE","PARK AVENUE","MYRTLE AVENUE","ADDRESS","BROOKLYN","RYERSON STREET",,"In Progress",,,,"02 BROOKLYN","3018920011","BROOKLYN","993909","192300","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.694490579771944","-73.96516815760589","
,  
(40.694490579771944, -73.96516815760589)"
"66459300","2025-10-13T01:47:31.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10466","655 EAST  230 STREET","EAST  230 STREET","CARPENTER AVENUE","LOWERRE PLACE","CARPENTER AVENUE","LOWERRE PLACE","ADDRESS","BRONX","EAST  230 STREET",,"In Progress",,,,"12 BRONX","2048330028","BRONX","1022911","264242","MOBILE","Unspecified","BRONX",,,,,,,,"40.89187241649303","-73.86016845296459","
,  
(40.89187241649303, -73.86016845296459)"
"66460453","2025-10-13T01:47:28.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","11355","138-10 FRANKLIN AVENUE","FRANKLIN AVENUE","COLDEN STREET","KISSENA BOULEVARD","COLDEN STREET","KISSENA BOULEVARD","ADDRESS","FLUSHING","FRANKLIN AVENUE",,"In Progress",,,,"07 QUEENS","4051370055","QUEENS","1032468","214384","PHONE","Unspecified","QUEENS",,,,,,,,"40.754979595276545","-73.82596045488518","
,  
(40.754979595276545, -73.82596045488518)"
"66453426","2025-10-13T01:47:18.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Sidewalk","Street/Sidewalk","11235","8 BRIGHTON   10 LANE","BRIGHTON   10 LANE","CONEY ISLAND AVENUE","BRIGHTON   10 STREET","CONEY ISLAND AVENUE","BRIGHTON   10 STREET","ADDRESS","BROOKLYN","BRIGHTON   10 LANE",,"In Progress",,,"2025-10-13T02:44:28.000","13 BROOKLYN","3087050018","BROOKLYN","995484","150766","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.580486780207785","-73.95955761600959","
,  
(40.580486780207785, -73.95955761600959)"
"66460454","2025-10-13T01:47:18.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","10035","339 EAST  118 STREET","EAST  118 STREET","2 AVENUE","1 AVENUE","2 AVENUE","1 AVENUE","ADDRESS","NEW YORK","EAST  118 STREET",,"In Progress",,,"2025-10-13T02:12:02.000","11 MANHATTAN","1017950020","MANHATTAN","1002020","229978","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.797894628109155","-73.93581909838987","
,  
(40.797894628109155, -73.93581909838987)"
"66455809","2025-10-13T01:47:09.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11219","926 47 STREET","47 STREET","9 AVENUE","10 AVENUE","9 AVENUE","10 AVENUE","ADDRESS","BROOKLYN","47 STREET",,"In Progress",,,,"12 BROOKLYN","3056250011","BROOKLYN","984520","172815","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.64101386389138","-73.9990271187378","
,  
(40.64101386389138, -73.9990271187378)"
"66461606","2025-10-13T01:46:49.000",,"NYPD","New York City Police Department","Illegal Parking","Double Parked Blocking Vehicle","Street/Sidewalk","10463","3004 ALBANY CRESCENT","ALBANY CRESCENT","BAILEY AVENUE","HEATH AVENUE","BAILEY AVENUE","HEATH AVENUE","ADDRESS","BRONX","ALBANY CRESCENT",,"In Progress",,,"2025-10-13T02:02:26.000","08 BRONX","2032600057","BRONX","1011054","258714","ONLINE","Unspecified","BRONX","SUV",,,,,,,"40.87674377803381","-73.90307567973697","
,  
(40.87674377803381, -73.90307567973697)"
"66455806","2025-10-13T01:46:04.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10466","655 EAST  230 STREET","EAST  230 STREET","CARPENTER AVENUE","LOWERRE PLACE","CARPENTER AVENUE","LOWERRE PLACE","ADDRESS","BRONX","EAST  230 STREET",,"In Progress",,,,"12 BRONX","2048330028","BRONX","1022911","264242","MOBILE","Unspecified","BRONX",,,,,,,,"40.89187241649303","-73.86016845296459","
,  
(40.89187241649303, -73.86016845296459)"
"66454635","2025-10-13T01:44:36.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10466","655 EAST  230 STREET","EAST  230 STREET","CARPENTER AVENUE","LOWERRE PLACE","CARPENTER AVENUE","LOWERRE PLACE","ADDRESS","BRONX","EAST  230 STREET",,"In Progress",,,,"12 BRONX","2048330028","BRONX","1022911","264242","MOBILE","Unspecified","BRONX",,,,,,,,"40.89187241649303","-73.86016845296459","
,  
(40.89187241649303, -73.86016845296459)"
"66458128","2025-10-13T01:43:22.000",,"NYPD","New York City Police Department","Noise - Vehicle","Engine Idling","Street/Sidewalk","11226","538 EAST   21 STREET","EAST   21 STREET","DORCHESTER ROAD","DITMAS AVENUE","DORCHESTER ROAD","DITMAS AVENUE","ADDRESS","BROOKLYN","EAST   21 STREET",,"In Progress",,,"2025-10-13T02:04:21.000","14 BROOKLYN","3051840025","BROOKLYN","995841","172790","MOBILE","Unspecified","BROOKLYN","Car",,,,,,,"40.64093766389099","-73.95823461385314","
,  
(40.64093766389099, -73.95823461385314)"
"66453455","2025-10-13T01:43:09.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10466","655 EAST  230 STREET","EAST  230 STREET","CARPENTER AVENUE","LOWERRE PLACE","CARPENTER AVENUE","LOWERRE PLACE","ADDRESS","BRONX","EAST  230 STREET",,"In Progress",,,,"12 BRONX","2048330028","BRONX","1022911","264242","MOBILE","Unspecified","BRONX",,,,,,,,"40.89187241649303","-73.86016845296459","
,  
(40.89187241649303, -73.86016845296459)"
"66461607","2025-10-13T01:43:09.000",,"NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","10033","340 HAVEN AVENUE","HAVEN AVENUE","CROSS BRONX EXPWY SB ET    1 A","CROSS BRONX EXPWY SB ET    1 A","CROSS BRONX EXPWY SB ET    1 A","CROSS BRONX EXPWY SB ET    1 A","ADDRESS","NEW YORK","HAVEN AVENUE",,"In Progress",,,,"12 MANHATTAN","1021770234","MANHATTAN","1000383","249251","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.85079666819761","-73.94168520089414","
,  
(40.85079666819761, -73.94168520089414)"
"66458125","2025-10-13T01:42:22.000",,"NYPD","New York City Police Department","Noise - Vehicle","Engine Idling","Street/Sidewalk","11226","538 EAST   21 STREET","EAST   21 STREET","DORCHESTER ROAD","DITMAS AVENUE","DORCHESTER ROAD","DITMAS AVENUE","ADDRESS","BROOKLYN","EAST   21 STREET",,"In Progress",,,"2025-10-13T02:04:22.000","14 BROOKLYN","3051840025","BROOKLYN","995841","172790","MOBILE","Unspecified","BROOKLYN","Car",,,,,,,"40.64093766389099","-73.95823461385314","
,  
(40.64093766389099, -73.95823461385314)"
"66454649","2025-10-13T01:41:45.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11226","535 EAST   21 STREET","EAST   21 STREET","DORCHESTER ROAD","DITMAS AVENUE","DORCHESTER ROAD","DITMAS AVENUE","ADDRESS","BROOKLYN","EAST   21 STREET",,"In Progress",,,"2025-10-13T02:07:27.000","14 BROOKLYN","3051850069","BROOKLYN","995845","172805","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.640978830435685","-73.95822017503669","
,  
(40.640978830435685, -73.95822017503669)"
"66455811","2025-10-13T01:41:41.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10466","655 EAST  230 STREET","EAST  230 STREET","CARPENTER AVENUE","LOWERRE PLACE","CARPENTER AVENUE","LOWERRE PLACE","ADDRESS","BRONX","EAST  230 STREET",,"In Progress",,,,"12 BRONX","2048330028","BRONX","1022911","264242","MOBILE","Unspecified","BRONX",,,,,,,,"40.89187241649303","-73.86016845296459","
,  
(40.89187241649303, -73.86016845296459)"
"66459310","2025-10-13T01:40:42.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11226","555 EAST   21 STREET","EAST   21 STREET","DORCHESTER ROAD","DITMAS AVENUE","DORCHESTER ROAD","DITMAS AVENUE","ADDRESS","BROOKLYN","EAST   21 STREET",,"In Progress",,,"2025-10-13T02:06:41.000","14 BROOKLYN","3051850059","BROOKLYN","995864","172670","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.640608259512284","-73.9581519454541","
,  
(40.640608259512284, -73.9581519454541)"
"66459304","2025-10-13T01:40:15.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10466","655 EAST  230 STREET","EAST  230 STREET","CARPENTER AVENUE","LOWERRE PLACE","CARPENTER AVENUE","LOWERRE PLACE","ADDRESS","BRONX","EAST  230 STREET",,"In Progress",,,,"12 BRONX","2048330028","BRONX","1022911","264242","MOBILE","Unspecified","BRONX",,,,,,,,"40.89187241649303","-73.86016845296459","
,  
(40.89187241649303, -73.86016845296459)"
"66454558","2025-10-13T01:40:07.000",,"NYPD","New York City Police Department","Blocked Driveway","No Access","Street/Sidewalk","11412","195-05 111 AVENUE","111 AVENUE","195 STREET","196 STREET","195 STREET","196 STREET","ADDRESS","SAINT ALBANS","111 AVENUE",,"In Progress",,,"2025-10-13T02:00:17.000","12 QUEENS","4109350032","QUEENS","1050572","195474","ONLINE","Unspecified","QUEENS",,,,,,,,"40.70295919808535","-73.76080197509765","
,  
(40.70295919808535, -73.76080197509765)"
"66454625","2025-10-13T01:39:14.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","11239","135 ELMIRA LOOP","ELMIRA LOOP","SCHROEDERS AVENUE","BEND","SCHROEDERS AVENUE","BEND","ADDRESS","BROOKLYN","ELMIRA LOOP",,"In Progress",,,"2025-10-13T02:33:38.000","05 BROOKLYN","3044520085","BROOKLYN","1017337","175737","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.64897231926673","-73.88076454835067","
,  
(40.64897231926673, -73.88076454835067)"
"66453466","2025-10-13T01:39:11.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11226","525 EAST   21 STREET","EAST   21 STREET","DORCHESTER ROAD","DITMAS AVENUE","DORCHESTER ROAD","DITMAS AVENUE","ADDRESS","BROOKLYN","EAST   21 STREET",,"In Progress",,,"2025-10-13T01:56:01.000","14 BROOKLYN","3051850073","BROOKLYN","995836","172872","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.641162742829806","-73.95825248933495","
,  
(40.641162742829806, -73.95825248933495)"
"66454637","2025-10-13T01:38:47.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10466","655 EAST  230 STREET","EAST  230 STREET","CARPENTER AVENUE","LOWERRE PLACE","CARPENTER AVENUE","LOWERRE PLACE","ADDRESS","BRONX","EAST  230 STREET",,"In Progress",,,,"12 BRONX","2048330028","BRONX","1022911","264242","MOBILE","Unspecified","BRONX",,,,,,,,"40.89187241649303","-73.86016845296459","
,  
(40.89187241649303, -73.86016845296459)"
"66460441","2025-10-13T01:38:33.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Sidewalk","Street/Sidewalk","11356","14-50 110 STREET","110 STREET","14 ROAD","15 AVENUE","14 ROAD","15 AVENUE","ADDRESS","COLLEGE POINT","110 STREET",,"In Progress",,,,"07 QUEENS","4040447502","QUEENS","1023904","225055","MOBILE","Unspecified","QUEENS",,,,,,,,"40.78431122866285","-73.8568086004188","
,  
(40.78431122866285, -73.8568086004188)"
"66461624","2025-10-13T01:37:19.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10466","655 EAST  230 STREET","EAST  230 STREET","CARPENTER AVENUE","LOWERRE PLACE","CARPENTER AVENUE","LOWERRE PLACE","ADDRESS","BRONX","EAST  230 STREET",,"In Progress",,,,"12 BRONX","2048330028","BRONX","1022911","264242","MOBILE","Unspecified","BRONX",,,,,,,,"40.89187241649303","-73.86016845296459","
,  
(40.89187241649303, -73.86016845296459)"
"66459313","2025-10-13T01:37:18.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10460","1711 HOE AVENUE","HOE AVENUE","EAST  173 STREET","EAST  174 STREET","EAST  173 STREET","EAST  174 STREET","ADDRESS","BRONX","HOE AVENUE",,"In Progress",,,,"03 BRONX","2029830028","BRONX","1015457","244026","MOBILE","Unspecified","BRONX",,,,,,,,"40.83641517455698","-73.8872226542721","
,  
(40.83641517455698, -73.8872226542721)"
"66453430","2025-10-13T01:36:36.000",,"NYPD","New York City Police Department","Illegal Parking","Commercial Overnight Parking","Street/Sidewalk","11413","131 AVENUE","131 AVENUE","131 AVENUE","227 STREET","131 AVENUE","227 STREET","INTERSECTION",,,,"In Progress",,,"2025-10-13T02:05:14.000","13 QUEENS",,"QUEENS","1056051","187298","PHONE","Unspecified","QUEENS",,,,,,,,"40.68047530172839","-73.74112857671442","
,  
(40.68047530172839, -73.74112857671442)"
"66453373","2025-10-13T01:36:28.000",,"DPR","Department of Parks and Recreation","Damaged Tree","Entire Tree Has Fallen Down","Street","11423","196-08 99 AVENUE","99 AVENUE","196 STREET","197 STREET","196 STREET","197 STREET","ADDRESS","HOLLIS","99 AVENUE",,"In Progress",,,,"12 QUEENS","4108430004","QUEENS","1049883","198308","UNKNOWN","Unspecified","QUEENS",,,,,,,,"40.71074296778891","-73.76325929809346","
,  
(40.71074296778891, -73.76325929809346)"
"66461560","2025-10-13T01:36:06.000",,"NYPD","New York City Police Department","Blocked Driveway","Partial Access","Street/Sidewalk","11356","14-09 110 STREET","110 STREET","14 AVENUE","14 ROAD","14 AVENUE","14 ROAD","ADDRESS","COLLEGE POINT","110 STREET",,"In Progress",,,,"07 QUEENS","4040450001","QUEENS","1023891","225406","MOBILE","Unspecified","QUEENS",,,,,,,,"40.7852746871429","-73.85685347237514","
,  
(40.7852746871429, -73.85685347237514)"
"66459838","2025-10-13T01:35:53.000","2025-10-13T01:51:16.000","NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","11433","112-25 167 STREET","167 STREET","SAYRES AVENUE","LINDEN BOULEVARD","SAYRES AVENUE","LINDEN BOULEVARD","ADDRESS","JAMAICA","167 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2025-10-13T01:51:21.000","12 QUEENS","4123230036","QUEENS","1044484","191060","PHONE","Unspecified","QUEENS",,,,,,,,"40.69088736737928","-73.7827984356324","
,  
(40.69088736737928, -73.7827984356324)"
"66459305","2025-10-13T01:35:52.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10466","655 EAST  230 STREET","EAST  230 STREET","CARPENTER AVENUE","LOWERRE PLACE","CARPENTER AVENUE","LOWERRE PLACE","ADDRESS","BRONX","EAST  230 STREET",,"In Progress",,,,"12 BRONX","2048330028","BRONX","1022911","264242","MOBILE","Unspecified","BRONX",,,,,,,,"40.89187241649303","-73.86016845296459","
,  
(40.89187241649303, -73.86016845296459)"
"66458938","2025-10-13T01:35:24.000","2025-10-13T01:48:16.000","NYPD","New York City Police Department","Noise - Residential","Loud Talking","Residential Building/House","11234","1150 EAST   53 STREET","EAST   53 STREET","AVENUE H","AVENUE I","AVENUE H","AVENUE I","ADDRESS","BROOKLYN","EAST   53 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2025-10-13T01:48:20.000","18 BROOKLYN","3077560076","BROOKLYN","1004990","169280","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.631286766133385","-73.92527918930374","
,  
(40.631286766133385, -73.92527918930374)"
"66454620","2025-10-13T01:35:03.000",,"NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party","Club/Bar/Restaurant","11103","43-20 31 AVENUE","31 AVENUE","43 STREET","44 STREET","43 STREET","44 STREET","ADDRESS","ASTORIA","31 AVENUE",,"In Progress",,,,"01 QUEENS","4006940001","QUEENS","1007945","216203","ONLINE","Unspecified","QUEENS",,,,,,,,"40.760072007877376","-73.91446803576257","
,  
(40.760072007877376, -73.91446803576257)"
"66459296","2025-10-13T01:34:53.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11691","22-25 NEW HAVEN AVENUE","NEW HAVEN AVENUE","BEACH   22 STREET","GRASSMERE TERRACE","BEACH   22 STREET","GRASSMERE TERRACE","ADDRESS","FAR ROCKAWAY","NEW HAVEN AVENUE",,"In Progress",,,"2025-10-13T02:22:02.000","14 QUEENS","4157620061","QUEENS","1051925","158361","ONLINE","Unspecified","QUEENS",,,,,,,,"40.60108225787543","-73.75629463921236","
,  
(40.60108225787543, -73.75629463921236)"
"66456867","2025-10-13T01:34:50.000",,"NYPD","New York City Police Department","Blocked Driveway","No Access","Street/Sidewalk","11220","781 48 STREET","48 STREET","7 AVENUE","8 AVENUE","7 AVENUE","8 AVENUE","ADDRESS","BROOKLYN","48 STREET",,"In Progress",,,"2025-10-13T02:00:08.000","07 BROOKLYN","3007680043","BROOKLYN","983376","173397","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.642611289990015","-74.00314932807287","
,  
(40.642611289990015, -74.00314932807287)"
