"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"50084598","TABETOMO","Manhattan","131","AVENUE A","10009","9176369223","Japanese","2023-02-13T00:00:00.000","Establishment re-opened by DOHMH.","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","16","C","2023-02-13T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Reopening Inspection","40.72681284306","-73.982992285603","103","02","003200","1005881","1004360034","MN22"
"50075323","HUNGRY BURRITO TACOS","Queens","811","SENECA AVENUE","11385","7182075413","Tex-Mex","2025-01-07T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","18","B","2025-01-07T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.701363878676","-73.905241932092","405","30","055100","4437715","4034630001","QN20"
"50134305","KINSHIP COFFEE","Queens","3014","BROADWAY","11106","6465122106","Coffee/Tea","2024-12-02T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","47",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.762241587858","-73.925991007035","401","22","005900","4430913","4005870034","QN70"
"50084401","JAI DEE","Manhattan","420","7 AVENUE","10001","7188321611","Thai","2024-12-08T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","10","A","2024-12-08T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.750459889749","-73.991016698009","105","03","010100","1014385","1007830034","MN17"
"40829150","SOCIETY OF ILLUSTRATORS","Manhattan","128","EAST   63 STREET","10065","2128382560","American","2024-06-05T00:00:00.000","Violations were cited in the following area(s).","20-08","Failure to post or conspicuously post healthy eating information","Not Critical",,,,"2025-10-14T06:00:14.000","Administrative Miscellaneous / Initial Inspection","40.7648901196","-73.966773685566","108","04","011402","1042056","1013970060","MN40"
"50147042","CAPPONE'S SALUMERIA","Manhattan","11","ABINGDON SQ","10014","2124637300","Italian","2024-05-23T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","13","A","2024-05-23T00:00:00.000","2025-10-14T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.737145280229","-74.005228683572","102","03","007700","1011378","1006240030","MN23"
"41338348","DROP OFF SERVICE","Manhattan","211","AVENUE A","10009","2122602914","American","2023-06-06T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","12","A","2023-06-06T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.729820759444","-73.980794194713","103","02","003400","1006022","1004410035","MN22"
"50125876","KRISPY KREME","Staten Island","2643","RICHMOND AVENUE","10314","3472058349","Donuts","2023-01-03T00:00:00.000","Violations were cited in the following area(s).","10B","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.","Not Critical","10","A","2023-01-03T00:00:00.000","2025-10-14T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.582256237567","-74.169059688206","502","51","027702","5170602","5024000020","SI24"
"50110224","PLAZA ORTEGA","Brooklyn","140","STANHOPE STREET","11221","7183107287","Mexican","2024-11-22T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","54",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.698179447041","-73.922892404259","304","37","042100","3425864","3032660023","BK78"
"50152110","FRESH HOT PIZZA","Manhattan","17","WEST  125 STREET","10027","3478845060","Pizza","2025-02-06T00:00:00.000","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","12","A","2025-02-06T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.806691545191","-73.942911804528","110","09","020000","1053503","1017230023","MN11"
"50083116","THE GREAT CABIN","Manhattan","205","EAST    4 STREET","10009","2127770454","American","2024-10-29T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","10","A","2024-10-29T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.723900787753","-73.983977949418","103","02","003200","1005038","1004000055","MN22"
"50105701","TROPICAL JADE 1","Queens","10801","LIBERTY AVE","11419","7186414168","Caribbean","2025-07-01T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","70","C","2025-07-01T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.68383899716","-73.833443663476","410","28","009800","4201718","4095130036","QN55"
"41694378","POPEYES","Brooklyn","9216","CHURCH AVENUE","11236","7185660566","Chicken","2023-11-01T00:00:00.000","Violations were cited in the following area(s).","10E","Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment","Not Critical","10","A","2023-11-01T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.653842622565","-73.918294743162","317","42","088800","3103450","3047130042","BK96"
"50126022","TAQUERIA BY EL PRIETO NYC","Manhattan","139","WEST   28 STREET","10001","9179460151","Mexican","2023-12-28T00:00:00.000","Violations were cited in the following area(s).","08B","Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.","Not Critical","11","A","2023-12-28T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.74654316738","-73.991706544949","105","03","009500","1015102","1008040015","MN17"
"50123805","QK Restaurant Inc.","Queens","4626","KISSENA BLVD","11355","7189990806","Chinese","2025-08-11T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","26","B","2025-08-11T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.75003950242","-73.818519551091","407","20","084500","4314742","4051490138","QN22"
"50092699","CAFE BORABORA","Queens","9708","QUEENS BLVD","11374","7182754900","Bagels/Pretzels","2025-06-10T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","34",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.729209804938","-73.859892301091","406","29","069701","4072141","4030840002","QN18"
"50113369","TAMARA'S JAMAICAN RESTAURANT","Brooklyn","2612C","PITKIN AVENUE","11208","3475646895","Caribbean","2024-03-22T00:00:00.000","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","21","B","2024-03-22T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.674834902529","-73.875757640781","305","42","119400","3094943","3042280017","BK82"
"50054044","K-BAP","Manhattan","62","WEST   56 STREET","10019","9176393814","Korean","2022-03-03T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","23",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.76307272002","-73.976358847219","105","04","010400","1034854","1012710069","MN17"
"40673117","10TH AVENUE PIZZA & CAFE","Manhattan","256","10 AVENUE","10001","2123669222","Pizza","2025-07-22T00:00:00.000","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical","7","A","2025-07-22T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.748818825881","-74.003334819511","104","03","009300","1012822","1007220075","MN13"
"41614161","AMY RUTH'S","Manhattan","113","WEST  116 STREET","10026","2122808779","Soul Food","2022-08-03T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","36",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.802317140511","-73.950374401345","110","09","021800","1057405","1019010029","MN11"
"50143691","CONSTELLATION CULINARY GROUP - REF F6070 - APOLLO","Manhattan","9","WEST   57 STREET","10019","6016643196","Other","2024-03-20T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","22",,,"2025-10-14T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.763248016082","-73.97463325396","105","04","011201","1035071","1012730022","MN17"
"50001312","MEW","Manhattan","53","WEST   35 STREET","10001","6463689384","Japanese","2023-05-31T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","22",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.749869251359","-73.98589897606","105","04","008400","1085001","1008370012","MN17"
"50107475","THE BEAN","Manhattan","54","2 AVENUE","10003","9172620929","Coffee/Tea","2023-02-24T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","12","A","2023-02-24T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.72566359282","-73.989793383351","103","02","003800","1006162","1004450001","MN22"
"50164407","MONTE HOREB DELI & GROCERY","Brooklyn","7409","13 AVENUE","11228","3474920644","Latin American","2025-09-04T00:00:00.000","Violations were cited in the following area(s).","03A","Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.","Critical","29",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.620769474429","-74.006923354475","310","38","019800","3159417","3062110008","BK30"
"50091776","CAFE D'AVIGNON","Manhattan","88","ESSEX STREET","10002","9172612092","Bakery Products/Desserts","2022-07-07T00:00:00.000","Violations were cited in the following area(s).","03I","Juice packaged on premises with no or incomplete label, no warning statement","Critical","34",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.718140053728","-73.988402066414","103","01","001800","1090554","1003527501","MN27"
"41577737","COULEUR CAFE","Brooklyn","435","7 AVENUE","11215","7187886600","Coffee/Tea","2025-01-14T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","13","A","2025-01-14T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.663466443174","-73.984421454072","306","39","014900","3026575","3011020002","BK37"
"50119707","DOUBLE HAPPY KITCHEN","Queens","8518","JAMAICA AVE","11421","7188506003","Chinese","2024-07-29T00:00:00.000","Violations were cited in the following area(s).","08C","Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.","Not Critical","45",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.692519131018","-73.858837396271","409","32","001000","4183849","4089220008","QN53"
"41407362","CAFE HIMALAYA","Manhattan","78","EAST    1 STREET","10009","2123580160","Asian/Asian Fusion","2024-11-07T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","20",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.72316021195","-73.988191941806","103","02","003002","1005757","1004290064","MN22"
"50108282","NEW SONG'S DUMPLING CAFE","Queens","10206","METROPOLITAN AVE","11375","3472727551","Chinese","2023-09-27T00:00:00.000","Violations were cited in the following area(s).","10H","Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.","Not Critical","12","A","2023-09-27T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.710426759907","-73.850734006601","406","29","064500","4537591","4039000005","QN17"
"50111021","MC BAKERY AND COFFEE SHOP II","Bronx","2426","JEROME AVENUE","10468","6464093567","Bakery Products/Desserts","2024-06-26T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","12","A","2024-06-26T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.86187687751","-73.901733293103","205","14","023900","2014100","2031880029","BX40"
"50075139","Q TOWN ASIAN CUISINE","Queens","8287","BROADWAY","11373","7188988281","Asian/Asian Fusion","2024-12-31T00:00:00.000","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical","17","B","2024-12-31T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.741513272929","-73.880558721661","404","25","046900","4039029","4015610034","QN29"
"50139365","THAI ME","Brooklyn","918","BROADWAY","11206","7189755190","Thai","2024-07-18T00:00:00.000","Violations were cited in the following area(s).","20-06","Current letter grade or Grade Pending card not posted","Not Critical",,,,"2025-10-14T06:00:14.000","Administrative Miscellaneous / Initial Inspection","40.697498688918","-73.936204137737","303","36","028700","3259320","3015840021","BK35"
"50088568","REALCARIBBEANPOT RESTAURANT & BAKERY","Brooklyn","3018","CHURCH AVENUE","11226","3474259260","Caribbean","2024-12-16T00:00:00.000","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","35",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.650805596425","-73.949298282974","317","40","082400","3109237","3048840009","BK95"
"50017218","TSOB-TSOBE CAFE LOUNGE BAR","Brooklyn","2817","CONEY ISLAND AVENUE","11235","7187596999","Russian","2022-08-08T00:00:00.000","Violations were cited in the following area(s).","08C","Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.","Not Critical","18","B","2022-08-08T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.587828136795","-73.960381441103","315","48","058800","3203825","3074300049","BK25"
"41534701","SUBWAY","Bronx","980","EAST  233 STREET","10466","7189162238","Sandwiches","2023-01-12T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"2025-10-14T06:00:14.000","Administrative Miscellaneous / Initial Inspection","40.890826405359","-73.849318266857","212","11","042400","2064812","2048680072","BX44"
"50048035","NIPPONCHA RESTAURANT","Queens","3934","BELL BLVD","11361","7182290805","Japanese","2024-05-02T00:00:00.000","Violations were cited in the following area(s).","10G","Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.","Not Critical","12","A","2024-05-02T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.764895638684","-73.771682528846","411","19","112300","4137552","4062370023","QN46"
"50107995","LA BAGEL DELIGHT","Brooklyn","122","7 AVENUE","11215","7183989529","Bagels/Pretzels","2025-05-29T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","19",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.673477965614","-73.976138377037","306","39","015700","3020372","3009600042","BK37"
"50059332","AWANG KITCHEN","Queens","8405","QUEENS BLVD","11373","3474929264","Indonesian","2023-05-28T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","24",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.737125739845","-73.879224262658","404","25","047300","4541352","4015487501","QN29"
"50051748","THE BUSHWICK DINER","Brooklyn","299","WYCKOFF AVENUE","11237","7185522455","American","2023-03-23T00:00:00.000","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","Critical","20","B","2023-03-23T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.700420090316","-73.912676241751","304","37","044100","3076194","3033290001","BK77"
"50017360","MOZZARELLA","Brooklyn","264","LEE AVENUE","11206","7187835555","Jewish/Kosher","2024-03-21T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","13","A","2024-03-21T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.699892295057","-73.953696746066","301","33","053100","3387767","3022630048","BK75"
"50070541","LE BOTANISTE","Manhattan","127","GRAND STREET","10013","3478044095","Vegan","2022-03-23T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","13","A","2022-03-23T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.720594462281","-74.000212847084","102","01","004500","1003035","1002320013","MN24"
"41334807","2 BROS PIZZA","Manhattan","32","ST MARKS PLACE","10003","2127770600","Pizza","2022-08-12T00:00:00.000","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.","Critical","22",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.728803451759","-73.988194546018","103","02","003800","1006674","1004630025","MN22"
"50125016","KAMALA KITCHEN","Queens","26007","HILLSIDE AVE","11004","9178035432","Indian","2023-04-26T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","7","A","2023-04-26T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.737372518287","-73.708148423314","413","23","157902","4179426","4087720056","QN44"
"50075182","NEW YORK CITY BAGEL & COFFEE HOUSE","Queens","3310","30TH AVE","11103","6463307525","Bagels/Pretzels","2025-05-14T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","3","A","2025-05-14T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.76605525318","-73.919607792578","401","22","006300","4009032","4006250045","QN70"
"41331356","DUNKIN' / 'BASKIN ROBBINS","Queens","2514","BROADWAY","11106","7187280087","Coffee/Tea","2023-02-27T00:00:00.000","Violations were cited in the following area(s).","10B","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.","Not Critical","4","A","2023-02-27T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.763296986965","-73.928213528694","401","22","005300","4007157","4005800022","QN70"
"41291186","DUNKIN99","Queens","11716","QUEENS BOULEVARD","11375","7182685380","American","2024-09-17T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","9","A","2024-09-17T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.715311990803","-73.832509783357","406","29","076902","4079984","4033460020","QN17"
"50089472","CHINA KING 1 RESTAURANT","Brooklyn","2683","PITKIN AVENUE","11208","7182777113","Chinese","2024-01-17T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","45",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.675240910831","-73.873053042494","305","42","119600","3094681","3042120040","BK82"
"50128131","NEW CHIPICHAPE","Queens","4553","45TH ST","11377","3475496680","Bakery Products/Desserts","2024-07-10T00:00:00.000","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","40",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.741720423676","-73.919925967086","402","26","018300","4001961","4001650001","QN31"
"50091999","THE TANG","Manhattan","920","AMSTERDAM AVENUE","10025","6465967970","Chinese","2024-12-02T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","40",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.799858088363","-73.966142142988","107","07","019100","1056614","1018770031","MN12"
"50112810","ANDY'S CAFE","Brooklyn","2601","OCEAN PARKWAY","11235","7189266224","American","2024-09-10T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","39",,,"2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.586545432467","-73.966167901117","313","48","037000","3337274","3072390001","BK19"
"50107864","GREAT WALL CHINESE RESTAURANT","Brooklyn","7614","18 AVENUE","11214","7188373311","Chinese","2025-08-20T00:00:00.000","Violations were cited in the following area(s).","28-06","Contract with a pest management professional not in place. Record of extermination activities not kept on premises.","Not Critical","18","B","2025-08-20T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.612636840209","-73.996751247655","311","43","026400","3160845","3062370047","BK28"
